DATE, TIME, USER, ACTION
20-11-24,14:06,MIST001,Logged IN
20-11-24,14:06,MIST001,Forced [PEER001] to log OUT)
20-11-24,14:06,MIST001,Logged OUT
20-11-24,14:06,PEER001,Logged IN
20-11-24,14:06,PEER001,Logged OUT
20-11-24,14:07,PEER001,Logged IN
20-11-24,14:07,ADMIN,Logged IN
20-11-24,14:09,PEER001,Logged IN
20-11-24,14:09,PEER001,Logged OUT
20-11-24,14:12,PEER001,Logged IN
20-11-24,14:12,PEER001,Logged OUT
20-11-24,14:13,ADMIN,Logged IN
20-11-24,14:13,ADMIN,Logged OUT
20-11-24,14:18,ADMIN,Logged IN
20-11-24,14:18,ADMIN,Logged OUT
21-11-24,07:38,ADMIN,Logged IN
21-11-24,07:38,ADMIN,Logged OUT
21-11-24,07:47,ADMIN,Logged IN
21-11-24,07:47,ADMIN,Logged OUT
22-11-24,08:13,ADMIN,Logged IN
22-11-24,08:13,ADMIN,Logged OUT
22-11-24,08:16,MIST001,Logged IN
22-11-24,08:16,MIST001,Created new user [BAOR001]
22-11-24,08:17,MIST001,Created new user [BAOR002]
22-11-24,08:16,MIST001,Logged OUT
