DATE, TIME, USER, ACTION
06-11-24,17:22,ADMIN,Logged IN
06-11-24,17:22,ADMIN,Deleted user [NIEW001]
06-11-24,17:32,ADMIN,Logged IN
06-11-24,17:32,ADMIN,Created new user [NIEW001]
06-11-24,17:33,ADMIN,Created new user [TOTE001]
06-11-24,17:32,ADMIN,Updated user details for TOTE001
06-11-24,17:32,ADMIN,Deleted user [TOTE001]
06-11-24,17:38,ADMIN,Logged IN
06-11-24,17:38,ADMIN,Created new user [TOTE001]
06-11-24,17:38,ADMIN,Deleted user [TOTE001]
06-11-24,17:38,ADMIN,Logged OUT
06-11-24,17:40,ADMIN,Logged IN
06-11-24,17:40,ADMIN,Created new user [TOTE001]
06-11-24,17:40,ADMIN,Deleted user [TOTE001]
06-11-24,17:50,ADMIN,Logged IN
06-11-24,17:50,ADMIN,Created new user [TOTE001]
06-11-24,17:50,ADMIN,Updated user details for TOTE001
06-11-24,17:50,ADMIN,Changed password for user [TOTE001]
06-11-24,17:50,ADMIN,Deleted user [TOTE001]
06-11-24,17:51,ADMIN,Logged IN
06-11-24,17:51,ADMIN,Created new user [TOTE001]
06-11-24,17:51,ADMIN,Updated user details for TOTE001
06-11-24,17:51,ADMIN,Updated user details for TOTE001
06-11-24,17:51,ADMIN,Deleted user [TOTE001]
06-11-24,17:54,ADMIN,Logged IN
06-11-24,17:54,ADMIN,Created new user [DETO001]
06-11-24,17:54,ADMIN,Deleted user [DETO001]
06-11-24,17:54,ADMIN,Logged OUT
06-11-24,17:57,ADMIN,Logged IN
06-11-24,17:57,ADMIN,Created new user [DETO001]
06-11-24,17:57,ADMIN,Updated user details for DETO001
06-11-24,17:57,ADMIN,Deleted user [DETO001]
06-11-24,18:00,ADMIN,Logged IN
06-11-24,18:00,ADMIN,Created new user [DEEL001]
06-11-24,18:00,ADMIN,Deleted user [DEEL001]
06-11-24,18:00,ADMIN,Logged OUT
06-11-24,18:01,ADMIN,Logged IN
06-11-24,18:01,ADMIN,Created new user [RGGG001]
06-11-24,18:01,ADMIN,Deleted user [RGGG001]
06-11-24,18:01,ADMIN,Logged OUT
